Index_,Year,Category,Unit,Command,Count_,ObjectId
104,2015,Dispatched Calls,33 Division,Area,30828,104
105,2015,Dispatched Calls,41 Division,Area,39820,105
106,2015,Dispatched Calls,42 Division,Area,36760,106
107,2015,Dispatched Calls,43 Division,Area,36203,107
108,2015,Dispatched Calls,51 Division,Central,48163,108
109,2015,Dispatched Calls,52 Division,Central,36361,109
110,2015,Dispatched Calls,53 Division,Central,30308,110
111,2015,Dispatched Calls,54 & 55 Division,Central,59971,111
112,2015,Dispatched Calls,Other,N/A,1438,112
113,2015,Dispatched Calls,PRIME,N/A,62592,113
114,2015,Dispatched Calls,Parking,N/A,140235,114
115,2014,Dispatched Calls,11 Division,Central,33639,115
116,2014,Dispatched Calls,12 Division,Central,31949,116
117,2014,Dispatched Calls,13 Division,Central,27813,117
118,2014,Dispatched Calls,14 Division,Central,53812,118
119,2014,Dispatched Calls,22 Division,Area,38612,119
120,2014,Dispatched Calls,23 Division,Area,31829,120
121,2014,Dispatched Calls,31 Division,Area,33420,121
122,2014,Dispatched Calls,32 Division,Area,39103,122
123,2014,Dispatched Calls,33 Division,Area,29220,123
124,2014,Dispatched Calls,41 Division,Area,38425,124
125,2014,Dispatched Calls,42 Division,Area,33101,125
126,2014,Dispatched Calls,43 Division,Area,37185,126
127,2014,Dispatched Calls,51 Division,Central,46670,127
128,2014,Dispatched Calls,52 Division,Central,34570,128
129,2014,Dispatched Calls,53 Division,Central,31633,129
130,2014,Dispatched Calls,54 & 55 Division,Central,61698,130
131,2014,Dispatched Calls,Other,N/A,1082,131
132,2014,Dispatched Calls,PRIME,N/A,63089,132
133,2014,Dispatched Calls,Parking,N/A,135308,133
